source,target,source example,target example,source language,target language,source segment,url,comment
"affiancato","flanked","Il soldato era affiancato dai suoi compagni, garantendo sicurezza nella situazione tesa.","The soldier was flanked by his comrades, ensuring safety in the tense situation.","it","en","","","joined, supported"
"mirino","viewfinder","Il mirino inclinato rivelava un panorama che l'obiettivo diritto non poteva catturare.","The biased viewfinder revealed a panorama that the straight lens could not capture.","it","en","","","sight, crosshair"
"rimpiazzare","replace","Nessun mondo virtuale può o deve rimpiazzare ciò che la famiglia offre.","No virtual world can or should replace what family can offer.","it","en","","","substitute, displace"
"sfilare","parade","Durante l'evento comunitario, tutti sono invitati a sfilare nel parco fieristico.","During the community event, everyone is invited to parade around the fairgrounds.","it","en","","","march, model"
"targa","plate","Sandro, nel suo angolo, incide una nuova targa di marmo.","Sandro, in his corner, engraves a new marble plate.","it","en","","",""
"spago","twine","Il pacco era assicurato con lo spago per tenere tutto al sicuro.","The package was tied with twine to keep everything secure.","it","en","","","string, cord"
"saccheggiata","sacked","Dopo il passaggio dell'esercito, la città giaceva saccheggiata e desolata.","After the army marched through, the town lay sacked and desolate.","it","en","","",""
"sottosuolo","underground","Il luogo dove le tecnologie e le ingegnerie per il sottosuolo sono protagoniste.","The place where underground technologies and engineering take centre stage.","it","en","","","subsoil, ground"
"colpo","shot","Un fade può essere un colpo utile per navigare fairway insidiosi.","A fade can be a useful shot for navigating tricky fairways.","it","en","","","blow, coup"
"intreccio","weave","Studiava diversi tipi di intreccio per il suo corso di design tessile.","He studied different types of weave for his textile design class.","it","en","","","weave, intertwining"
"smosso","stirred","Quell'articolo sul giornale di oggi, ha veramente smosso le acque.","That article in the paper today has really stirred the pot.","it","en","","","loose, shaken"
"in superficie","on the surface","Sembrava calma in superficie, ma i suoi sentimenti andavano oltre il valore apparente.","She appeared calm on the surface, but her feelings were beyond face value.","it","en","","","to the surface, above ground"
"sfruttano","exploit","Possano marcire all'inferno tutti coloro che sfruttano gli innocenti, pensò.","May all those who exploit the innocent rot in hell, he thought.","it","en","","","use, take advantage"
"fognario","sewage","La puzza dell'impianto fognario era da far vomitare; era insopportabile.","The stink from the sewage plant could gag a maggot; it was unbearable.","it","en","","",""
"indagare","investigate","Il detective decise di fare di testa propria e indagare sul caso da solo.","The detective decided to go rogue and investigate the case on his own.","it","en","","","look into, dig"
"cullare","lull","Infine ci si può cullare sulle nostre amache nel silenzio della natura.","Finally we can lull on our hammocks in the silence of nature.","it","en","","","rock, cradle"
"stordire","stun","Ha cercato di stordire l'intruso con un rapido colpo alla gola.","She tried to stun the intruder with a quick jab to his throat.","it","en","","","deafen, knock out"
"complessivamente","overall","Imparando a sfumare, migliorò notevolmente le sue abilità di disegno complessivamente.","By learning to shade, he improved his overall drawing skills significantly.","it","en","","",""
"picchiare","hit","Qualunque sia il motivo, è sbagliato picchiare la gente.","Whatever the reason was, it's wrong to hit people.","it","en","","",""
"succoso","succulent","Una regolare routine di irrorazione ha mantenuto l'arrosto succoso per tutta la durata della cottura.","A regular basting routine kept the roast succulent throughout the cooking time.","it","en","","",""
"smentire","deny","Ogni esperimento preciso mira a confermare o smentire una proposta legge fisica.","Every precise experiment aims to confirm or deny a proposed physical law.","it","en","","",""
"apposta","on purpose","Penso che abbia rotto il vaso apposta per attirare l'attenzione dei genitori.","I think he broke the vase on purpose to get attention from his parents.","it","en","","","especially, specifically"
"travisare","misrepresent","Non travisare le tue capacità; l'onestà è fondamentale per costruire fiducia.","Do not misrepresent your abilities; honesty is crucial in building trust.","it","en","","","twist, misstate"
"affidare","entrust","Potresti affidare a noi la gestione mensile dei tuoi social network.","You could entrust the monthly management of your social networks to us.","it","en","","",""
"sottoporre","submit","Perché l'uomo deve sottoporre tutto ciò che fa alla sua verità.","Because man must submit everything he does to his truth.","it","en","","","subject, refer"
"pizzicare","pinch","È possibile pizzicare la macchina per le bambole in un yuan.","It is possible to pinch out the doll machine in one yuan.","it","en","","","pluck, strum"
"svolta","turn","Fai una svolta a sinistra al prossimo incrocio per raggiungere il museo.","Take a left turn at the next intersection to reach the museum.","it","en","","","turning point, breakthrough"
"rimpasto","reshuffle","Dopo il rimpasto, è diventato il sottosegretario responsabile degli affari sociali.","After the reshuffle, he became the junior minister responsible for social affairs.","it","en","","","reshuffling, shakeup"
"indugio","delay","Al calar della notte, decisero di irrompere nella base nemica senza ulteriore indugio.","As night fell, they decided to storm the enemy base without further delay.","it","en","","","ado, hesitation"
"odierno","modern","La variante con i pinoli è molto simile all'odierno pesto.","The variant with pine nuts is very similar to modern pesto.","it","en","","","modern, present"
"largo","wide","Un ponte a pedaggio collega le due città attraverso il largo fiume.","A toll bridge connects the two towns across the wide river.","it","en","","","large, wider"
"reciso","severed","La verità è che un nervo reciso può anche non guarire più .","The truth is, a severed nerve may never fully reconnect.","it","en","","","cut, cut off"
"aborrire","abhor","Avere tutte le virtù ed aborrire tutti i mali.","I want to have all virtues and abhor all wickedness.","it","en","","","hate, detest"
"scudiero","squire","Il mio scudiero gli mostrerà la via, o bellissima dama.","My squire will show him the way, O fairest lady.","it","en","","","equerry, armor-bearer"
"gettare le basi","lay the foundations","Lui si propone di gettare le basi per una comunità più sostenibile.","He aims to lay the foundations for a more sustainable community.","it","en","","","lay the foundation, lay the groundwork"
"scoiattolo","squirrel","Lo scoiattolo si affanna a mettere da parte noci per i mesi invernali.","The squirrel busily stores away nuts for the coming winter months.","it","en","","","chipmunk, sciurine"
"affamato","hungry","Il leone affamato era a caccia, alla ricerca del suo prossimo pasto.","The hungry lion was on the prowl, searching for its next meal.","it","en","","","starving, starved"
"ovattato","muffled","La neve cadde sul tetto, creando un suono soffice e ovattato.","Snow thudded onto the roof, creating a soft, muffled noise.","it","en","","","hushed, padded"
"perquisizione","search","Ha presentato un reclamo per la perquisizione illegale del suo veicolo.","She filed a complaint about the warrantless search of her vehicle.","it","en","","","raid, frisking"
"mandato","sent","Non ha potuto essere presente alla cerimonia, ma ha mandato dei fiori.","He couldn't be there for the ceremony, but he sent flowers.","it","en","","","sending, screwed"
"trono","throne","Queste sedie sono comode come un trono, offrendo il massimo comfort.","These chairs are sweet as a throne, providing utmost comfort.","it","en","","","seat, porcelain goddess"
"inerte","inert","La reazione procede meglio quando R è un gruppo alifatico e inerte.","The reaction is most successful when R is aliphatic and inert.","it","en","","","inactive, lifeless"
"aletta","fin","Sull'interno la borsa caratterizza una tasca extra dell'aletta.","On the inside the bag features an extra fin pocket.","it","en","","","flap, wing"
"asta","auction","Ha comprato la vecchia auto all'asta per poco o niente.","He bought the old car for next to nothing at the auction.","it","en","","","rod, shaft"
"scindere","separate","Non si possono scindere i due problemi.","It is not possible to separate the two problems.","it","en","","","split, break down"
"consiglio","council","Il rapporto ambientale ha sollevato un vespaio per il consiglio comunale.","The environmental report opened a can of worms for the city council.","it","en","","",""
"compiacere","please","Le risposte diplomatiche del politico erano progettate per compiacere tutti nel pubblico.","The politician's minced responses were designed to please everyone in the audience.","it","en","","",""
"guarito","healed","Il suo cuore guarito gli permise di amare di nuovo senza esitazioni.","His healed heart allowed him to love again without hesitation.","it","en","","","cured, recovered"
"arnia","hive","Abbiamo posizionato un'arnia vicino all'orto per favorire l'impollinazione.","We placed a hive near the vegetable garden to help with pollination.","it","en","","","beehive, apiary"
"liso","worn","Il tappeto ammuffito del soggiorno era consumato e liso da anni di incuria.","The mildewed rug in the living room was threadbare and worn from years of neglect.","it","en","","","threadbare, shabby"
"paludoso","marshy","Il paesaggio paludoso era ricco di piante verdi e fauna selvatica vibrante.","The marshy landscape was filled with rich green plants and vibrant wildlife.","it","en","","","swampy, boggy"
"schiacciante","overwhelming","Ha rifiutato di cedere nonostante la pressione schiacciante dei suoi coetanei.","He refused to back down despite the overwhelming pressure from his peers.","it","en","","",""
"attenersi","follow","Tutti devono attenersi al calendario provvisorio fino a nuovo avviso.","Everyone needs to follow the tentative schedule until further notice.","it","en","","","stick, adhere"
"disposto a","willing to","Era disposto a mettersi in gioco con la sua reputazione per questo progetto.","He was willing to put on the line his reputation for this project.","it","en","","",""
"dirigente","executive","Lo stress è parte integrante del lavoro quando sei un dirigente di alto livello.","Stress is part and parcel of the job when you're a high-level executive.","it","en","","","manager, leader"
"arare","plow","Il trattore si è impantanato mentre cercava di arare il terreno fradicio.","The tractor became bogged while attempting to plow the soggy land.","it","en","","","plough, till"
"in trattative","in talks","Dieulafait è fermo in trattative con il team.","Dieulafait is still in talks with the team.","it","en","","",""
"esitare","hesitate","Non esitare a donare; anche il poco è qualcosa per la causa benefica.","Don't hesitate to donate; every little bit helps the charity's cause.","it","en","","","falter, pause"
"per bene","right","Te l'ho detto sto cercando di fare le cose per bene.","I told you... I am trying to make things right.","it","en","","",""
"diradato","thinned","Dopo la potatura, il fogliame diradato offriva una vista migliore della casa.","After pruning, the thinned foliage offered a better view of the house.","it","en","","","sparse, thinning"
"relitto","wreck","La vita marina prosperava intorno al relitto sommerso, creando un vivace ecosistema subacqueo.","Marine life thrived around the sunken wreck, creating a vibrant underwater ecosystem.","it","en","","","wreckage, shipwreck"
"postino","postman","Si paga il prezzo del prodotto e la consegna direttamente al postino.","You pay the product and delivery price directly to the postman.","it","en","","","mailman, mail carrier"
"montare","mount","Ha deciso di montare un supporto a parete per la libreria pesante.","He decided to mount a wall bracket for the heavy bookshelf.","it","en","","","assemble, fit"
"slitta","sled","Hanno costruito la slitta con pattini lunghi per navigare nella neve profonda.","They built the sled with long runners to navigate deep snow.","it","en","","","sleigh, sledge"
"barca","boat","Si sentiva verde in viso mentre la barca ondeggiava avanti e indietro.","She felt green around the gills as the boat rocked back and forth.","it","en","","","sailboat, ship"
"incavo","socket","Il ferro è stato valutato dalla forza della vite di incavo esagonale.","The iron was evaluated by the strength of hexagonal socket screw.","it","en","","","recess, hollow"
"infossamento","sinking together","La causa di questo è data da un infossamento dei corpi vertebrali.","The cause of this is a sinking together of vertebrae.","it","en","","",""
"nicchia","niche","La band si è creata una nicchia mescolando diversi generi musicali.","The band carved a niche by blending different genres of music.","it","en","","","alcove, recess"
"svagare","amuse","Per alcune l'installazione stessa è un periodo di grande attività e impegno mentale, che contribuisce a distrarre e a svagare.","For some, getting installed was a period of great activity and mental effort, which helped to distract and amuse them.","it","en","","","entertain, divert"
"prosa","prose","La scrittrice mira a sfumare la sua prosa con sottotoni emotivi.","The writer aims to shade her prose with emotional undertones.","it","en","","","drama, plays"
"stuzzichino","snack","Ha detto che è un nuovo membro, non uno stuzzichino.","He said she's a new member, not a snack.","it","en","","","appetizer, pincho"
"consegna","delivery","La consegna è arrivata in orario, proprio come l'azienda aveva promesso.","The delivery arrived on time, just as the company had promised.","it","en","","","delivering, shipping"
"rione","ward","Nel rione trovò le sorelle che voleva e di cui aveva bisogno.","She found the sisters she wanted and needed in our ward.","it","en","","","district, neighborhood"
"antiruggine","anti-rust","Buona prestazione anticorrosiva ed antiruggine nel progetto del paesaggio dell'acqua.","Good anti-corrosion and anti-rust performance in the water landscape project.","it","en","","","antirust, rustproof"
"vernice","paint","La vernice avanzata dal progetto è stata conservata per un uso futuro.","The surplus paint from the project was stored for future use.","it","en","","","varnish, lacquer"
"piombo","lead","Il piombo martellato era stato modellato in intricati motivi per l'arte decorativa.","The beaten lead was fashioned into intricate patterns for decorative art.","it","en","","","plumb, sinker"
"guaire","yelp","Dopo la caduta, poteva solo guaire di dolore e frustrazione.","After her fall, she could only yelp in pain and frustration.","it","en","","","yap, whine"
"ritirare","withdraw","Si riserva la facoltà di ritirare la sua candidatura senza preavviso.","She reserves the right to withdraw her application without notice.","it","en","","","pick up, collect"
"tisana","herbal tea","Questa tisana fa miracoli per alleviare lo stress e favorire il rilassamento.","This herbal tea works wonders for relieving stress and promoting relaxation.","it","en","","","tea, infusion"
"ghiandola","gland","Una ghiandola linfatica ingrossata può indicare un grave problema di salute sottostante.","An enlarged lymph gland may signal a serious underlying health issue.","it","en","","","glandular, retinaculum"
"anagrafe","registry","Parlavano persino di togliere il suo nome dall'anagrafe di famiglia.","They even talked about removing his name from family registry.","it","en","","","register, registry office"
"trifolare","sautéed","Aromatizzare un filo d'olio con l'aglio e trifolare i funghi.","A little olive oil flavored with garlic and sautéed mushrooms.","it","en","","",""
"a iosa","aplenty","Il giardino è in fiore brillante, con fiori di ogni colore che crescono a iosa.","The garden blooms brightly, with flowers of every color growing aplenty.","it","en","","","out the wazoo, in plenty"
"esortare","urge","I cittadini si sono uniti per esortare i funzionari a bloccare la proposta di legge.","Citizens rallied together to urge the officials to veto the proposed law.","it","en","","","encourage, call on"
"dono","gift","Con il suo dono della parlantina, ha affascinato tutti all'evento di networking.","With his gift of the gab, he charmed everyone at the networking event.","it","en","","","present, giving"
"piega","fold","Ha tracciato con il dito la piega del libro logoro ma prezioso.","She traced her finger along the fold of the worn-out treasured book.","it","en","","","bend, turn"
"edile","construction","I contratti in economia sono comuni nel settore edile per lavori imprevedibili.","Time and material contracts are common in the construction industry for unpredictable work.","it","en","","","building, structural"
"issa","hoist","E quando hai finito di costruire, metti gli utensili nel nascondiglio segreto e issa la bandiera della casa sull'albero!","When you're done building, put your tools in the secret hiding place and hoist the treehouse flag!","it","en","","","oops-a-daisy, Lssa"
"lordare","soiling","Habitat che ha opportunamente imparato a frequentare sfidando spesso l'ira degli abitanti di quei luoghi in quanto, oltre al continuo lordare con il loro guano abbondante e puzzolente, anche per l'insistenza nell'avventarsi su qualsiasi cosa commestibile passi loro sotto gli occhi.","Habitats it has duly learnt to frequent often defying the rage of the people living in those sites as, besides the continuous soiling with their abundant and stinking guano, also for the insistence pouncing on any edible thing passing under their eyes.","it","en","","","begrime"
"fascicolo","file","Rimosse con attenzione il foglio macchiato dal fascicolo per evitare confusione.","He carefully removed the stained paper from the file to avoid any confusion.","it","en","","","dossier, record"
"pennuto","fowl","Caccia quel pennuto nel forno.","Just pop that fowl in the oven.","it","en","","","fowl, feathered"
"piangente","weeping","Ha parlato del suo passato piangente con autenticità e dolore.","He spoke about his weeping past with authenticity and pain.","it","en","","","crying, tearful"
"stalliera","groom","Si è presentata la moglie di Ed, ma per tua sfortuna, se n'è andata senza di lui, così hai fatto quello che dovevi per riavere la tua stalliera.","Ed's wife showed up, but to your chagrin, she left without him, so you do what you had to do in order to get your groom back.","it","en","","","stable hand, stablehand"
"lottatore","fighter","Il lottatore esperto ha dimostrato un'incredibile agilità durante l'incontro di campionato.","The skilled fighter demonstrated incredible agility during the championship bout.","it","en","","","wrestler, wrestling"
"bacchetta","wand","Abbiamo visto il mago far roteare la bacchetta prima di eseguire un trucco.","We watched the magician spin his wand before performing a trick.","it","en","","","rod, stick"
"bretella","suspender","Ha fissato saldamente la bretella prima di indossare il suo vestito preferito.","She fastened the suspender securely before putting on her favorite dress.","it","en","","","strap, harness"
"sganciare","drop","Si dice tu abbia una bomba da sganciare sulla task force.","Rumor is you got a bomb to drop on the task force.","it","en","","","unhook, release"
"salopette","overall","Ha scelto una salopette vivace che spiccava alla fiera dell'artigianato.","She chose a bright overall that stood out at the craft fair.","it","en","","","dungaree, salopettes"
"figliastro","stepson","Il mio figliastro si è diplomato di recente con ottimi voti.","My stepson recently graduated from high school with excellent grades.","it","en","","","stepchild, step-son"
"darsi alla macchia","jump bail","Il sospettato ha deciso di darsi alla macchia ed è fuggito in un altro paese.","The suspect decided to jump bail and fled to another country.","it","en","","","go bush, take it on the lam"
"latitare","be sidelined","Nonostante i molteplici segnali tecnici di ipervenduto continuano a latitare gli acquisti.","Despite multiple technical signals of overselling, purchases continue to be sidelined.","it","en","","",""
"pugnale","dagger's","Ammirò le intricate incisioni che decoravano il fodero dell'antico pugnale.","He admired the intricate carvings decorating the ancient dagger's sheath.","it","en","","","knife, blade"
"astio","hatred","Ma causa altresì una reazione a catena di amarezza e astio.","But it also causes a chain reaction of bitterness and hatred.","it","en","","","resentment, bad blood"
"quadro","framework","È necessario un quadro di governo per mantenere l'ordine nell'accordo.","A governing framework is necessary to maintain order in the agreement.","it","en","","","picture, painting"
"tessuto","fabric","Il tessuto era inzuppato ma manteneva ancora colori vivaci dopo il lavaggio.","The fabric was soaked but still held vibrant colors after washing.","it","en","","","tissue, textile"
"accedere","access","Ha avviato un pagamento anticipato per accedere ai benefici esclusivi dell'abbonamento.","She initiated an advance payment to access the exclusive membership benefits.","it","en","","","log, enter"
"tenente","lieutenant","Tutti i piloti rispettano il tenente pilota per le sue capacità di leadership.","All the pilots respect the flight lieutenant for his leadership skills.","it","en","","","first lieutenant, second lieutenant"
"esca","bait","I pescatori spesso immergono l'esca nell'acqua per attirare i pesci.","Fishermen often dabble their bait in the water to attract fish.","it","en","","","decoy, lure"
"imporre","impose","Un'agenzia regolatrice può imporre pesanti multe per la non conformità alle regolazioni.","A regulatory agency can impose heavy fines for non-compliance with regulations.","it","en","","",""
"carie","caries","Icon non è adatto per l'utilizzo in presenza di carie avanzate.","Icon is not suitable for use where advanced caries are present.","it","en","","","cavity, tooth decay"
"otturato","clogged","Uno scarico otturato può portare a situazioni imbarazzanti durante le riunioni.","A clogged drain can lead to embarrassing situations during gatherings.","it","en","","","blocked, plugged"
"ghisa","cast iron","Ha restaurato un vecchio braciere in ghisa per le riunioni estive.","He restored an old cast iron fire pit for summer gatherings.","it","en","","","cast-iron, pig iron"
"indumento","garment","Ha imparato che una buona cucitura è essenziale per un indumento resistente.","She learned that proper stitching is essential for a durable garment.","it","en","","","clothing, clothes"
"alimentazione","power","Il salvavita è scattato interrompendo l'alimentazione dell'intero edificio.","The circuit breaker tripped and shut off the power to the entire building.","it","en","","","feeding, supply"
"aghiforme","needle-like","L'acicola mostrava una forma aghiforme, rendendola facile da identificare tra gli altri cristalli.","The acicula displayed a needle-like form, making it easy to identify among other crystals.","it","en","","","needle-shaped, needled"
"frantoio","oil mill","I contadini portano i loro semi raccolti al frantoio per la lavorazione.","Farmers bring their harvested seeds to the oil mill for processing.","it","en","","","crusher, olive press"
"molletta","clothespin","Ha dimostrato come appendere con precisione la molletta al filo.","He demonstrated how to peg the clothespin to the line accurately.","it","en","","","clip, barrette"
"frizione","clutch","Ha regolato la tensione della frizione centrifuga per ottenere migliori prestazioni.","He adjusted the tension on the centrifugal clutch for better performance.","it","en","","","friction, drag"
"incisivo","incisive","Questa pietra fa sì che un oratore sia incisivo con le parole.","This stone causes an orator to be incisive with the words.","it","en","","","impactful, punchy"
"chela","chelas","Grazie preziosa chela per questa comunione.","Thank you precious chelas for this communion.","it","en","","","claw, pincer"
"bramito","bellow","Nel cuore della foresta, udimmo il bramito di un cervo che chiamava la sua compagna.","Deep in the forest, we heard the bellow of an elk calling for its mate.","it","en","","","bellowing, roar"
"ustione","burn","Hanno usato l'aloe vera per lenire l'ustione dopo il barbecue.","They used aloe vera to soothe the burn after the barbecue.","it","en","","","scald, scorch"
"ateneo","university","Perugia é sede del più antico ateneo orientato agli studenti stranieri.","Perugia is the domicile of oldest summer university for foreign students.","it","en","","","athenaeum, campus"
"starnuto","sneeze","La tranquilla aula fu disturbata da un improvviso starnuto dal fondo.","The quiet classroom was disrupted by a sudden sneeze from the back.","it","en","","","sneezing, sternutation"
"agganciarsi","engage","Anello morbido ed elastico, può agganciarsi con chiusure a gancio.","Soft and stretchable loop, can engage with hook fasteners.","it","en","","","dock, hook"
"scarpone","boot","Lo scarpone scivolò prima che potesse trovare un appoggio sicuro sul pendio ripido.","His boot slipped before he could find a secure foothold on the steep slope.","it","en","","","ski boot, shoe"
"arrivare a termine","be viable","Questa gravidanza potrebbe non arrivare a termine.","This pregnancy may not be viable.","it","en","","","go full term, be viable"
"tariffa","rate","Do sempre la mancia al mio parrucchiere secondo la tariffa in vigore nel salone.","I always tip my hairdresser according to the going rate in the salon.","it","en","","","fare, fee"
"amianto","asbestos","La squadra di costruzione incrociò le braccia quando scoprì l'amianto nel vecchio edificio.","The construction crew downed tools when they discovered asbestos in the old building.","it","en","","","amianthus, asbestos-related"
"indigente","destitute","Il bambino indigente vagava per le strade, cercando un boccone da mangiare.","The destitute child wandered the streets, searching for a morsel to eat.","it","en","","","poor, indigent"
"bricolage","craft","Ha usato il muschio come elemento decorativo per il suo progetto di bricolage.","She used moss as a decorative item for her craft project.","it","en","","","bricolage, crafting"
"sindacato","union","Il sindacato tenne in pugno i proprietari della fabbrica durante le trattative.","The union held the factory owners to ransom during the negotiations.","it","en","","","trade union, syndicate"
"a occhio e croce","at a guess","Ha fatto, a occhio e croce, una dozzina di chiamate cercando di ottenere l'informazione.","He made, at a guess, a dozen calls trying to get the information.","it","en","","","at a rough guess, at first approximation"
"fiamma","flame","La fiamma della candela è uscita a causa del forte vento fuori.","The candle flame has gone out due to the strong wind outside.","it","en","","","heat, fire"
"laccio","lace","Ho notato che il laccio di fissaggio delle sue scarpe si stava slacciando.","I noticed the tying lace on her shoes was coming undone.","it","en","","","snare, shoelace"
"decessp","death","Nonostante il caos, l'ora del decesso fu confermata con precisione.","Despite the chaos, the time of death was confirmed with precision.","it","en","","","demise, passing"
"richiedere","request","Attraverso il pannello utente non ti sarà possibile modificare per intero tutti i tuoi dati; in ogni caso potrai richiedere un accesso completo scrivendo a ed eventualmente richiederne modifica e/o cancellazione.","Through the user panel it will not be possible to modify all your data in full; anyhow you can request a complete access by writing to and request it modification and/or cancellation.","it","en","","","require, take"
"proroga","extension","Per guadagnare tempo, ha chiesto una proroga sulla scadenza del progetto.","To buy time, she asked for an extension on the project deadline.","it","en","","","prolongation, delay"
"malgrado","in spite of","Si è divertito alla festa malgrado non conoscesse molte persone presenti.","He enjoyed the party in spite of not knowing many people there.","it","en","","","notwithstanding, even though"
"paperella di gomma","rubber ducky","Tengo sempre una paperella di gomma vicino per quelle sessioni di debug complicate.","I always keep a rubber ducky nearby for those tricky debugging sessions.","it","en","","","rubber duck"
"promemoria","reminder","Il paesaggio desolato era un promemoria degli effetti del rigido inverno.","The stripped landscape was a reminder of the harsh winter effects.","it","en","","","memo, memorandum"
"peripezia","adventure","Qualche peripezia, ma non c'é verso di passare; il vuoto s'ingrandisce ed il pericolo aumenta.","Some adventure, but there is no way to go with the vacuum it magnifies and the danger increases.","it","en","","","hijinks, peripety"
"asilo nido","nursery","Ho portato mio figlio all'asilo nido per farlo socializzare con gli altri.","I brought my child to the nursery for some social interaction with others.","it","en","","","kindergarten, daycare"
"chirurgia","surgery","Uno strabismo può talvolta essere corretto con terapia visiva o chirurgia.","A squint can sometimes be corrected with vision therapy or surgery.","it","en","","","surgeon, surgical"
"chirurgo","surgeon","Il chirurgo deve avere nervi d'acciaio per eseguire operazioni così delicate.","The surgeon must have nerves of steel to perform such delicate operations.","it","en","","","sawbones, neurosurgeon"
"grembiule","apron","Lo chef si assicura sempre di non macchiare il grembiule mentre cucina.","The chef always makes sure not to soil his apron while cooking.","it","en","","","smock, overall"
"allievo","student","Giura che tu sei il miglior allievo al quale abbia mai insegnato.","He swears you are the finest student he has ever taught.","it","en","","","pupil, learner"
"lavastoviglie","dishwasher","Per favore, metti i piatti in lavastoviglie quando hai finito.","Please pop the dishes in the dishwasher when you're done.","it","en","","","dish washer, dishwashing machine"
"segale","rye","La gastronomia offriva diversi tipi di fette, tra cui segale e integrale.","The deli offered several types of rounds, including rye and whole wheat.","it","en","","","pumpernickel"
"fetta","slice","Oggi pomeriggio ho voglia di una deliziosa fetta di torta al cioccolato.","I hunger for a delicious slice of chocolate cake this afternoon.","it","en","","","piece, share"
"cartello","sign","Il cartello 'novelli sposi' sulla loro auto attirò clacson e saluti.","The just married sign on their car attracted honks and waves.","it","en","","","cartel, signpost"
"arrotino","knife grinder","Un arrotino, un casaro e un fioraio squilibrato.","A knife grinder, a dairyman and an unhinged florist.","it","en","","","knife sharpener, grinder"
